2024-10-23T11:15:36.179+05:30 [restartedMain] INFO  o.s.boot.StartupInfoLogger.logStarting 50 - Starting ExpenseTracker using Java 17.0.12 with PID 20596 (C:\Users\saras\Desktop\Mittal_Software_labs_expense_tracker\Backend_Updated\target\classes started by saras in C:\Users\saras\Desktop\Mittal_Software_labs_expense_tracker\Backend_Updated)
2024-10-23T11:15:36.192+05:30 [restartedMain] INFO  o.s.boot.SpringApplication.logStartupProfileInfo 654 - No active profile set, falling back to 1 default profile: "default"
2024-10-23T11:15:36.430+05:30 [restartedMain] INFO  o.s.boot.logging.DeferredLog.logTo 252 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-10-23T11:15:36.433+05:30 [restartedMain] INFO  o.s.boot.logging.DeferredLog.logTo 252 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-10-23T11:15:39.011+05:30 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn 143 - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-10-23T11:15:39.227+05:30 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn 211 - Finished Spring Data repository scanning in 200 ms. Found 6 JPA repository interfaces.
2024-10-23T11:15:41.260+05:30 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize 111 - Tomcat initialized with port 8080 (http)
2024-10-23T11:15:41.289+05:30 [restartedMain] INFO  o.apache.juli.logging.DirectJDKLog.log 173 - Initializing ProtocolHandler ["http-nio-8080"]
2024-10-23T11:15:41.309+05:30 [restartedMain] INFO  o.apache.juli.logging.DirectJDKLog.log 173 - Starting service [Tomcat]
2024-10-23T11:15:41.313+05:30 [restartedMain] INFO  o.apache.juli.logging.DirectJDKLog.log 173 - Starting Servlet engine: [Apache Tomcat/10.1.30]
2024-10-23T11:15:41.475+05:30 [restartedMain] INFO  o.apache.juli.logging.DirectJDKLog.log 173 - Initializing Spring embedded WebApplicationContext
2024-10-23T11:15:41.477+05:30 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext 296 - Root WebApplicationContext: initialization completed in 5041 ms
2024-10-23T11:15:41.867+05:30 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation 31 - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-10-23T11:15:42.109+05:30 [restartedMain] INFO  org.hibernate.Version.logVersion 44 - HHH000412: Hibernate ORM core version 6.5.3.Final
2024-10-23T11:15:42.236+05:30 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator.initiateService 50 - HHH000026: Second-level cache disabled
